0.00.037.047 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.038.853 W srv  llama_server: -----------------
0.00.038.855 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.038.856 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.038.856 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.038.856 W srv  llama_server: -----------------
0.00.040.850 I srv    load_model: loading model 'models/rival/Qwen3.5-35B-A3B-UD-IQ3_S.gguf'
0.05.978.701 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 4096, kv_unified = 'true'
0.05.998.934 I srv  llama_server: model loaded
0.05.998.937 I srv  llama_server: listening on http://127.0.0.1:8087
0.10.259.454 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.07.097.471 I slot print_timing: id  0 | task 1818 |        eval time =   12272.71 ms /   600 tokens (   20.45 ms per token,    48.89 tokens per second)
1.07.097.471 I slot print_timing: id  0 | task 1818 |       total time =   12565.29 ms /   692 tokens
1.07.097.471 I slot print_timing: id  0 | task 1818 |    graphs reused =       2385
1.07.097.484 I slot      release: id  0 | task 1818 | stop processing: n_tokens = 691, truncated = 0
1.07.099.272 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
1.07.099.285 I slot launch_slot_: id  0 | task 2420 | processing task, is_child = 0
1.07.205.672 I slot print_timing: id  0 | task 2420 | prompt eval time =      85.45 ms /     9 tokens (    9.49 ms per token,   105.32 tokens per second)
1.07.205.675 I slot print_timing: id  0 | task 2420 |        eval time =      20.91 ms /     2 tokens (   10.46 ms per token,    95.65 tokens per second)
1.07.205.676 I slot print_timing: id  0 | task 2420 |       total time =     106.36 ms /    11 tokens
1.07.205.676 I slot print_timing: id  0 | task 2420 |    graphs reused =       2385
1.07.205.708 I slot      release: id  0 | task 2420 | stop processing: n_tokens = 701, truncated = 0
1.07.206.728 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 11355233836
1.07.206.743 I slot launch_slot_: id  3 | task 2424 | processing task, is_child = 0
1.10.553.249 I slot print_timing: id  3 | task 2424 | n_decoded =    162, tg =  53.73 t/s, tg_3s =  53.73 t/s
1.13.559.176 I slot print_timing: id  3 | task 2424 | n_decoded =    319, tg =  52.98 t/s, tg_3s =  52.23 t/s
1.16.567.173 I slot print_timing: id  3 | task 2424 | n_decoded =    481, tg =  53.27 t/s, tg_3s =  53.86 t/s
1.19.567.585 I slot print_timing: id  3 | task 2424 | n_decoded =    591, tg =  49.13 t/s, tg_3s =  36.66 t/s
1.19.788.328 I slot print_timing: id  3 | task 2424 | prompt eval time =     311.08 ms /   105 tokens (    2.96 ms per token,   337.54 tokens per second)
1.19.788.331 I slot print_timing: id  3 | task 2424 |        eval time =   12249.98 ms /   600 tokens (   20.42 ms per token,    48.98 tokens per second)
1.19.788.331 I slot print_timing: id  3 | task 2424 |       total time =   12561.06 ms /   705 tokens
1.19.788.332 I slot print_timing: id  3 | task 2424 |    graphs reused =       2981
1.19.788.350 I slot      release: id  3 | task 2424 | stop processing: n_tokens = 704, truncated = 0
1.19.789.832 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
1.19.789.852 I slot launch_slot_: id  3 | task 3026 | processing task, is_child = 0
1.19.897.198 I slot print_timing: id  3 | task 3026 | prompt eval time =      87.66 ms /     9 tokens (    9.74 ms per token,   102.67 tokens per second)
1.19.897.201 I slot print_timing: id  3 | task 3026 |        eval time =      19.66 ms /     2 tokens (    9.83 ms per token,   101.71 tokens per second)
1.19.897.201 I slot print_timing: id  3 | task 3026 |       total time =     107.33 ms /    11 tokens
1.19.897.202 I slot print_timing: id  3 | task 3026 |    graphs reused =       2981
1.19.897.230 I slot      release: id  3 | task 3026 | stop processing: n_tokens = 714, truncated = 0
1.19.898.193 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 11369577027
1.19.898.206 I slot launch_slot_: id  2 | task 3030 | processing task, is_child = 0
1.23.248.528 I slot print_timing: id  2 | task 3030 | n_decoded =    153, tg =  50.80 t/s, tg_3s =  50.80 t/s
1.26.272.005 I slot print_timing: id  2 | task 3030 | n_decoded =    280, tg =  46.39 t/s, tg_3s =  42.00 t/s
1.29.283.279 I slot print_timing: id  2 | task 3030 | n_decoded =    432, tg =  47.75 t/s, tg_3s =  50.48 t/s
1.32.297.310 I slot print_timing: id  2 | task 3030 | n_decoded =    581, tg =  48.17 t/s, tg_3s =  49.44 t/s
1.32.645.741 I slot print_timing: id  2 | task 3030 | prompt eval time =     314.16 ms /   105 tokens (    2.99 ms per token,   334.23 tokens per second)
1.32.645.744 I slot print_timing: id  2 | task 3030 |        eval time =   12409.14 ms /   600 tokens (   20.68 ms per token,    48.35 tokens per second)
1.32.645.744 I slot print_timing: id  2 | task 3030 |       total time =   12723.30 ms /   705 tokens
1.32.645.745 I slot print_timing: id  2 | task 3030 |    graphs reused =       3577
1.32.645.762 I slot      release: id  2 | task 3030 | stop processing: n_tokens = 704, truncated = 0
1.32.647.500 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
1.32.647.513 I slot launch_slot_: id  2 | task 3632 | processing task, is_child = 0
1.32.753.953 I slot print_timing: id  2 | task 3632 | prompt eval time =      86.09 ms /     9 tokens (    9.57 ms per token,   104.55 tokens per second)
1.32.753.955 I slot print_timing: id  2 | task 3632 |        eval time =      20.33 ms /     2 tokens (   10.17 ms per token,    98.36 tokens per second)
1.32.753.956 I slot print_timing: id  2 | task 3632 |       total time =     106.42 ms /    11 tokens
1.32.753.956 I slot print_timing: id  2 | task 3632 |    graphs reused =       3577
1.32.753.987 I slot      release: id  2 | task 3632 | stop processing: n_tokens = 714, truncated = 0
1.32.755.013 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 11383982547
1.32.755.026 I slot launch_slot_: id  1 | task 3636 | processing task, is_child = 0
1.36.102.205 I slot print_timing: id  1 | task 3636 | n_decoded =    144, tg =  47.54 t/s, tg_3s =  47.54 t/s
1.39.105.406 I slot print_timing: id  1 | task 3636 | n_decoded =    261, tg =  43.27 t/s, tg_3s =  38.96 t/s
1.42.129.005 I slot print_timing: id  1 | task 3636 | n_decoded =    407, tg =  44.94 t/s, tg_3s =  48.29 t/s
1.45.145.333 I slot print_timing: id  1 | task 3636 | n_decoded =    567, tg =  46.97 t/s, tg_3s =  53.04 t/s
1.45.755.096 I slot print_timing: id  1 | task 3636 | prompt eval time =     291.12 ms /    93 tokens (    3.13 ms per token,   319.46 tokens per second)
1.45.755.104 I slot print_timing: id  1 | task 3636 |        eval time =   12682.12 ms /   600 tokens (   21.14 ms per token,    47.31 tokens per second)
1.45.755.106 I slot print_timing: id  1 | task 3636 |       total time =   12973.24 ms /   693 tokens
1.45.755.107 I slot print_timing: id  1 | task 3636 |    graphs reused =       4173
1.45.755.133 I slot      release: id  1 | task 3636 | stop processing: n_tokens = 692, truncated = 0
1.45.759.830 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
1.45.759.872 I slot launch_slot_: id  1 | task 4238 | processing task, is_child = 0
1.45.908.607 I slot print_timing: id  1 | task 4238 | prompt eval time =     119.24 ms /     9 tokens (   13.25 ms per token,    75.48 tokens per second)
1.45.908.623 I slot print_timing: id  1 | task 4238 |        eval time =      29.44 ms /     2 tokens (   14.72 ms per token,    67.94 tokens per second)
1.45.908.625 I slot print_timing: id  1 | task 4238 |       total time =     148.67 ms /    11 tokens
1.45.908.627 I slot print_timing: id  1 | task 4238 |    graphs reused =       4173
1.45.908.748 I slot      release: id  1 | task 4238 | stop processing: n_tokens = 702, truncated = 0
1.45.911.179 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11396716507
1.45.911.209 I slot launch_slot_: id  0 | task 4242 | processing task, is_child = 0
1.49.246.603 I slot print_timing: id  0 | task 4242 | n_decoded =    129, tg =  42.95 t/s, tg_3s =  42.94 t/s
1.52.262.409 I slot print_timing: id  0 | task 4242 | n_decoded =    250, tg =  41.53 t/s, tg_3s =  40.12 t/s
1.55.277.983 I slot print_timing: id  0 | task 4242 | n_decoded =    336, tg =  37.19 t/s, tg_3s =  28.52 t/s
1.58.284.118 I slot print_timing: id  0 | task 4242 | n_decoded =    470, tg =  39.03 t/s, tg_3s =  44.58 t/s
2.00.723.348 I slot print_timing: id  0 | task 4242 | prompt eval time =     278.52 ms /    76 tokens (    3.66 ms per token,   272.87 tokens per second)
2.00.723.351 I slot print_timing: id  0 | task 4242 |        eval time =   14480.60 ms /   600 tokens (   24.13 ms per token,    41.43 tokens per second)
2.00.723.352 I slot print_timing: id  0 | task 4242 |       total time =   14759.12 ms /   676 tokens
2.00.723.352 I slot print_timing: id  0 | task 4242 |    graphs reused =       4769
2.00.723.364 I slot      release: id  0 | task 4242 | stop processing: n_tokens = 675, truncated = 0
2.00.724.970 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
2.00.724.988 I slot launch_slot_: id  0 | task 4844 | processing task, is_child = 0
2.00.831.774 I slot print_timing: id  0 | task 4844 | prompt eval time =      86.25 ms /     9 tokens (    9.58 ms per token,   104.35 tokens per second)
2.00.831.776 I slot print_timing: id  0 | task 4844 |        eval time =      20.51 ms /     2 tokens (   10.26 ms per token,    97.49 tokens per second)
2.00.831.777 I slot print_timing: id  0 | task 4844 |       total time =     106.77 ms /    11 tokens
2.00.831.777 I slot print_timing: id  0 | task 4844 |    graphs reused =       4769
2.00.831.809 I slot      release: id  0 | task 4844 | stop processing: n_tokens = 685, truncated = 0
2.00.832.779 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 11409408029
2.00.832.790 I slot launch_slot_: id  3 | task 4848 | processing task, is_child = 0
2.04.129.398 I slot print_timing: id  3 | task 4848 | n_decoded =    161, tg =  53.25 t/s, tg_3s =  53.25 t/s
2.07.130.058 I slot print_timing: id  3 | task 4848 | n_decoded =    271, tg =  44.99 t/s, tg_3s =  36.66 t/s
2.10.130.328 I slot print_timing: id  3 | task 4848 | n_decoded =    432, tg =  47.87 t/s, tg_3s =  53.66 t/s
2.13.134.803 I slot print_timing: id  3 | task 4848 | n_decoded =    580, tg =  48.22 t/s, tg_3s =  49.26 t/s
2.13.564.418 I slot print_timing: id  3 | task 4848 | prompt eval time =     246.27 ms /    59 tokens (    4.17 ms per token,   239.58 tokens per second)
2.13.564.425 I slot print_timing: id  3 | task 4848 |        eval time =   12458.37 ms /   600 tokens (   20.76 ms per token,    48.16 tokens per second)
2.13.564.428 I slot print_timing: id  3 | task 4848 |       total time =   12704.64 ms /   659 tokens
2.13.564.430 I slot print_timing: id  3 | task 4848 |    graphs reused =       5365
2.13.564.455 I slot      release: id  3 | task 4848 | stop processing: n_tokens = 658, truncated = 0
2.13.568.081 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
2.13.568.117 I slot launch_slot_: id  3 | task 5450 | processing task, is_child = 0
2.13.688.755 I slot print_timing: id  3 | task 5450 | prompt eval time =      99.80 ms /     9 tokens (   11.09 ms per token,    90.18 tokens per second)
2.13.688.759 I slot print_timing: id  3 | task 5450 |        eval time =      20.80 ms /     2 tokens (   10.40 ms per token,    96.18 tokens per second)
2.13.688.760 I slot print_timing: id  3 | task 5450 |       total time =     120.59 ms /    11 tokens
2.13.688.760 I slot print_timing: id  3 | task 5450 |    graphs reused =       5365
2.13.688.791 I slot      release: id  3 | task 5450 | stop processing: n_tokens = 668, truncated = 0
2.13.689.774 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 11422264786
2.13.689.787 I slot launch_slot_: id  2 | task 5454 | processing task, is_child = 0
2.16.991.545 I slot print_timing: id  2 | task 5454 | n_decoded =    122, tg =  40.65 t/s, tg_3s =  40.65 t/s
2.19.994.195 I slot print_timing: id  2 | task 5454 | n_decoded =    275, tg =  45.81 t/s, tg_3s =  50.95 t/s
2.23.002.697 I slot print_timing: id  2 | task 5454 | n_decoded =    428, tg =  47.49 t/s, tg_3s =  50.86 t/s
2.26.014.294 I slot print_timing: id  2 | task 5454 | n_decoded =    588, tg =  48.90 t/s, tg_3s =  53.13 t/s
2.26.234.845 I slot print_timing: id  2 | task 5454 | prompt eval time =     273.52 ms /    72 tokens (    3.80 ms per token,   263.24 tokens per second)
2.26.234.848 I slot print_timing: id  2 | task 5454 |        eval time =   12244.25 ms /   600 tokens (   20.41 ms per token,    49.00 tokens per second)
2.26.234.849 I slot print_timing: id  2 | task 5454 |       total time =   12517.77 ms /   672 tokens
2.26.234.849 I slot print_timing: id  2 | task 5454 |    graphs reused =       5961
2.26.234.863 I slot      release: id  2 | task 5454 | stop processing: n_tokens = 671, truncated = 0
2.26.236.171 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
2.26.236.187 I slot launch_slot_: id  2 | task 6056 | processing task, is_child = 0
2.26.342.440 I slot print_timing: id  2 | task 6056 | prompt eval time =      84.99 ms /     9 tokens (    9.44 ms per token,   105.89 tokens per second)
2.26.342.445 I slot print_timing: id  2 | task 6056 |        eval time =      21.24 ms /     2 tokens (   10.62 ms per token,    94.17 tokens per second)
2.26.342.445 I slot print_timing: id  2 | task 6056 |       total time =     106.23 ms /    11 tokens
2.26.342.446 I slot print_timing: id  2 | task 6056 |    graphs reused =       5961
2.26.342.479 I slot      release: id  2 | task 6056 | stop processing: n_tokens = 681, truncated = 0
2.26.343.859 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 11435419547
2.26.343.879 I slot launch_slot_: id  1 | task 6060 | processing task, is_child = 0
2.29.680.653 I slot print_timing: id  1 | task 6060 | n_decoded =    160, tg =  53.18 t/s, tg_3s =  53.18 t/s
2.32.698.620 I slot print_timing: id  1 | task 6060 | n_decoded =    291, tg =  48.29 t/s, tg_3s =  43.41 t/s
2.35.698.676 I slot print_timing: id  1 | task 6060 | n_decoded =    444, tg =  49.19 t/s, tg_3s =  51.00 t/s
2.38.588.484 I slot print_timing: id  1 | task 6060 | prompt eval time =     294.38 ms /    97 tokens (    3.03 ms per token,   329.51 tokens per second)
2.38.588.509 I slot print_timing: id  1 | task 6060 |        eval time =   11916.34 ms /   600 tokens (   19.86 ms per token,    50.35 tokens per second)
2.38.588.511 I slot print_timing: id  1 | task 6060 |       total time =   12210.72 ms /   697 tokens
2.38.588.513 I slot print_timing: id  1 | task 6060 |    graphs reused =       6557
2.38.588.608 I slot      release: id  1 | task 6060 | stop processing: n_tokens = 696, truncated = 0
2.38.593.669 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
2.38.593.721 I slot launch_slot_: id  1 | task 6662 | processing task, is_child = 0
2.38.723.983 I slot print_timing: id  1 | task 6662 | prompt eval time =     105.25 ms /     9 tokens (   11.69 ms per token,    85.51 tokens per second)
2.38.723.990 I slot print_timing: id  1 | task 6662 |        eval time =      24.91 ms /     2 tokens (   12.45 ms per token,    80.30 tokens per second)
2.38.723.991 I slot print_timing: id  1 | task 6662 |       total time =     130.16 ms /    11 tokens
2.38.723.992 I slot print_timing: id  1 | task 6662 |    graphs reused =       6557
2.38.724.044 I slot      release: id  1 | task 6662 | stop processing: n_tokens = 706, truncated = 0
2.38.725.620 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 11450342608
2.38.725.641 I slot launch_slot_: id  0 | task 6666 | processing task, is_child = 0
2.42.067.393 I slot print_timing: id  0 | task 6666 | n_decoded =    133, tg =  44.07 t/s, tg_3s =  44.07 t/s
2.45.090.025 I slot print_timing: id  0 | task 6666 | n_decoded =    283, tg =  46.85 t/s, tg_3s =  49.63 t/s
2.48.096.163 I slot print_timing: id  0 | task 6666 | n_decoded =    427, tg =  47.20 t/s, tg_3s =  47.90 t/s
2.51.112.991 I slot print_timing: id  0 | task 6666 | n_decoded =    559, tg =  46.34 t/s, tg_3s =  43.75 t/s
2.52.057.497 I slot print_timing: id  0 | task 6666 | prompt eval time =     268.62 ms /    74 tokens (    3.63 ms per token,   275.48 tokens per second)
2.52.057.500 I slot print_timing: id  0 | task 6666 |        eval time =   13007.91 ms /   600 tokens (   21.68 ms per token,    46.13 tokens per second)
2.52.057.500 I slot print_timing: id  0 | task 6666 |       total time =   13276.53 ms /   674 tokens
2.52.057.501 I slot print_timing: id  0 | task 6666 |    graphs reused =       7153
2.52.057.512 I slot      release: id  0 | task 6666 | stop processing: n_tokens = 673, truncated = 0
2.52.059.064 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.988 (> 0.100 thold), f_keep = 1.000
2.52.059.076 I slot launch_slot_: id  0 | task 7268 | processing task, is_child = 0
2.52.158.969 I slot print_timing: id  0 | task 7268 | prompt eval time =      80.14 ms /     8 tokens (   10.02 ms per token,    99.82 tokens per second)
2.52.158.972 I slot print_timing: id  0 | task 7268 |        eval time =      19.73 ms /     2 tokens (    9.86 ms per token,   101.39 tokens per second)
2.52.158.972 I slot print_timing: id  0 | task 7268 |       total time =      99.87 ms /    10 tokens
2.52.158.973 I slot print_timing: id  0 | task 7268 |    graphs reused =       7153
2.52.159.005 I slot      release: id  0 | task 7268 | stop processing: n_tokens = 682, truncated = 0
2.52.160.029 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 11463199590
2.52.160.043 I slot launch_slot_: id  3 | task 7272 | processing task, is_child = 0
2.55.447.452 I slot print_timing: id  3 | task 7272 | n_decoded =    149, tg =  49.48 t/s, tg_3s =  49.48 t/s
2.58.460.301 I slot print_timing: id  3 | task 7272 | n_decoded =    307, tg =  50.96 t/s, tg_3s =  52.44 t/s
3.01.476.622 I slot print_timing: id  3 | task 7272 | n_decoded =    462, tg =  51.10 t/s, tg_3s =  51.39 t/s
3.04.174.655 I slot print_timing: id  3 | task 7272 | prompt eval time =     248.10 ms /    63 tokens (    3.94 ms per token,   253.93 tokens per second)
3.04.174.658 I slot print_timing: id  3 | task 7272 |        eval time =   11738.80 ms /   600 tokens (   19.56 ms per token,    51.11 tokens per second)
3.04.174.659 I slot print_timing: id  3 | task 7272 |       total time =   11986.90 ms /   663 tokens
3.04.174.659 I slot print_timing: id  3 | task 7272 |    graphs reused =       7749
3.04.174.673 I slot      release: id  3 | task 7272 | stop processing: n_tokens = 662, truncated = 0
3.04.176.176 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, sim_best = 0.987 (> 0.100 thold), f_keep = 1.000
3.04.176.188 I slot launch_slot_: id  3 | task 7874 | processing task, is_child = 0
3.04.281.951 I slot print_timing: id  3 | task 7874 | prompt eval time =      85.09 ms /     9 tokens (    9.45 ms per token,   105.77 tokens per second)
3.04.281.953 I slot print_timing: id  3 | task 7874 |        eval time =      20.65 ms /     2 tokens (   10.32 ms per token,    96.86 tokens per second)
3.04.281.954 I slot print_timing: id  3 | task 7874 |       total time =     105.74 ms /    11 tokens
3.04.281.954 I slot print_timing: id  3 | task 7874 |    graphs reused =       7749
3.04.281.981 I slot      release: id  3 | task 7874 | stop processing: n_tokens = 672, truncated = 0
3.04.283.013 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 11475853278
3.04.283.029 I slot launch_slot_: id  2 | task 7878 | processing task, is_child = 0
3.07.660.152 I slot print_timing: id  2 | task 7878 | n_decoded =    153, tg =  50.74 t/s, tg_3s =  50.74 t/s
3.10.664.768 I slot print_timing: id  2 | task 7878 | n_decoded =    314, tg =  52.16 t/s, tg_3s =  53.58 t/s
3.13.678.726 I slot print_timing: id  2 | task 7878 | n_decoded =    460, tg =  50.92 t/s, tg_3s =  48.44 t/s
3.16.437.289 I slot print_timing: id  2 | task 7878 | prompt eval time =     330.80 ms /   130 tokens (    2.54 ms per token,   392.99 tokens per second)
3.16.437.292 I slot print_timing: id  2 | task 7878 |        eval time =   11792.66 ms /   600 tokens (   19.65 ms per token,    50.88 tokens per second)
3.16.437.293 I slot print_timing: id  2 | task 7878 |       total time =   12123.46 ms /   730 tokens
3.16.437.293 I slot print_timing: id  2 | task 7878 |    graphs reused =       8345
